# canopy temperature and spad were recorded as follows,,,,,,,,,,,
"# initially serpentine recording taking 2 super columns at once, starting at 1st row(north facing)",,,,,,,,,,,
"# after completion in two supercolumns, remaining three supercolumns were taken at once during recording, starting at 12th row at the completion point of intitial 2-supercol record.",,,,,,,,,,,
Plot,CTD_1_Feb23,CTD_2_Feb23,CTD_3_Feb23,CTD_4_Feb23,Ambient_Temperature_Feb23,Ctemp_plotinfo.,SPAD_1,SPAD_2,SPAD_3,SPAD_4,
114,16.8,17.6,16.8,,,,46,44.8,37.4,,
115,16.5,15.3,16.5,,,,43,42.1,41,,
116,17.6,16.5,15.9,,26,,42.2,38.9,39.5,,
117,18.7,17.1,16.4,,,,47.6,46.2,45.7,,
118,15.3,15.1,16.4,,,,45.8,46.9,42,,
119,15.6,15.5,15.4,15,,,47.4,50.5,44.5,48.9,
120,16.5,16,16,15.8,,,39.4,48,35,32.7,row_complete
121,17,16.6,17,,,,46.2,49.8,44.4,,
122,16.4,16.9,16.8,,,,44.6,45.4,46.1,,
123,16.3,16.2,16.1,,,,50,44.3,44.8,,
124,16.9,16.4,15.7,15.6,26.2,,44.4,38.1,44.1,42.3,
125,16.5,16.3,15.1,,,,43.4,46.4,43.6,,
126,14.5,14.9,15.9,14.2,,,43.7,41.2,42.6,38.9,
127,15.3,14.5,15.2,,,,41,33.9,41.4,,
128,14.2,11.7,13.3,13.8,,,48.9,46.8,57.1,47.8,
129,14.7,16.6,15.6,,,,42.2,43,47.1,,
130,14.4,15.7,15.1,,26.8,,46.1,44,45.8,,
131,14.8,15.5,15.1,14.6,,,50,55.2,50.1,50.7,
132,16,15.3,15.3,,,row_complete,43.8,49.1,50,,row_complete
133,17.3,16.6,16.3,,,,49.5,48.1,40.6,,
134,14.7,15,15.4,14.9,,,45.8,40.2,43.4,42.7,
135,14.8,15.8,15.6,15.6,,,43,39,47.6,41,
136,15.2,16.6,15.8,,26.1,,47.6,43.8,42.5,,
137,15.7,15.6,16,,,,44.9,45,48.3,,
138,14,13.6,14,,,,47,48.7,46.5,,
139,13.8,12.9,14.4,13.4,,,47.1,45.6,55,53,
140,14.7,14.1,14.9,14.7,,,50,49,49.3,47.2,
141,gap,gap,gap,gap,,,gap,gap,gap,gap,
142,14.2,14.7,14.2,,26.5,,43.7,35,48,39.7,
143,14.4,14.3,14.7,13.5,,,45.5,42.4,39.8,42,
144,15.3,15.1,13.4,,,row_complete,41.8,44.1,42.1,,row_complete
145,13.8,11.6,12.3,11.6,,,43.2,40.2,44.5,42.9,
146,13.3,12.8,13.2,,,,46,44.7,42.3,,
147,12.6,13.3,12.2,13,,,42.8,29.3,38.2,,
148,14.1,13.8,13.8,,25.5,,41.9,48.5,49.8,,
149,14.7,15.1,14.8,,,,42.4,39.7,42.1,,
150,14.1,14.2,14.1,,,,45.3,40.2,46.4,,
151,13,14.4,14.5,13.8,,,38,42.6,42,40,
152,13.5,12.1,13.7,13.7,,,45.4,38.3,41.6,44.9,
153,12.6,13.7,15.6,,25,,39,44.3,42.7,,
154,14.1,13.2,13.2,,,,42.8,41.9,41.3,,
155,12.4,15.1,13.7,13.5,,,45.5,48.1,47,52,
156,13.6,13.4,12.4,13.7,,row_complete,42.4,37.3,50.2,42.1,row_complete
157,12.1,13.6,14,,,,44,44.2,42.7,,
158,11.4,12.8,14.4,,,,46.1,41.2,44.6,,
159,12.6,14,13.3,13.2,,,45,41.3,39.8,42.7,
160,13.7,14.4,11.5,11.8,,,45,41.5,46.1,45,
161,14,14.2,13.1,,,,47.4,46.1,40.2,,
162,13.4,13.9,12.9,,25,,45.5,46.8,52.9,,
163,12,14,14.3,13.2,,,52,39,46,46.7,
164,14.4,13.4,13.8,,,,47.3,47.4,46,,
165,13.7,14.6,14.1,,,,37.7,48.6,48.1,,
166,13.8,13.4,11.5,12.1,,,39.8,43.7,48.6,48,
167,13.3,14.2,13.9,,,,48.8,42.1,46,43,
168,14,13.8,12.9,12.8,,,42.1,42.7,41.7,,row_complete
169,14.8,14.7,14.6,,,,35.4,46.4,47.9,,
170,14.8,13.9,12.9,13.4,,,38.6,36.1,40.9,43.7,
171,13.4,13.8,12.6,13.6,25.1,,56.7,46.1,51.8,48.3,
172,14.4,15.4,15,,,,46.4,47.9,43.3,,
173,13.9,14.3,13,13.4,,,47.5,41.3,47.2,43.6,
174,14.2,15.6,14.1,,,,45.4,43.9,47.4,,
175,13.8,14.7,15.2,,,,46.4,45.9,42.4,,
176,15.8,15,15,,,,44.3,38.1,44.6,,
177,14.2,14.7,14.1,14.4,25.1,,48.3,46.6,47.4,44.2,
178,14.5,14.2,14.1,12.9,,,46.8,42.6,43.3,43,
179,13.9,13,13.9,,,,43.1,46.6,47.4,,
180,14.1,14.6,14.6,,,row_complete,47.2,51.2,49,,row_complete
181,14.6,13.9,14.4,14.3,,,47.8,40.4,52.3,41.8,
182,13.5,13.6,13.2,13.6,,,25.5,37.3,39.1,36.1,
183,12.9,15.2,14,,,,48.5,47.1,47.9,,
184,15.1,15.2,14.2,,25.2,,41.7,41.4,46.5,,
185,13.8,12.3,12.3,,,,38.3,45.1,50,,
186,14.2,11.7,11.9,14.9,,,50.7,45.8,45.3,57.3,
187,14.4,14.1,15.4,14.5,,,42.3,41.7,41.4,43.6,
188,14.4,13.8,13.7,,,,43,46.4,49.2,,
189,14.5,14.4,13.1,,,,44.9,43.8,45.3,,
190,14.2,12.2,13.4,,,,44.6,45.8,50.7,52.4,
191,12.6,13.6,14.2,13.8,,,47.8,49.2,45.7,,
192,14.3,13.7,12,13.4,,row_complete,47.6,48.3,48.5,43.9,row_complete
193,12.8,14.2,15.3,13.7,,,46.6,45.9,44.3,43.3,
194,14.1,13.6,13.8,,,,38.2,49.3,44.7,,
195,14.8,14.7,15.1,,,,49.7,47,45,,
196,16.6,14.4,14.2,15.5,25,,46.2,43,37.2,44.4,
197,14.8,13.4,13.9,,,,44.8,49.6,49,,
198,14.9,14.4,14.2,14.8,,,43.4,45.7,44.9,45.8,
199,12.4,13.1,12,11.7,,,43.7,43.6,46.7,45.7,
200,14.2,12.8,13.6,,,,50,47.4,48.6,51,
201,13.5,14.1,13.7,,,,45,45.9,43.1,,
202,13.3,13.8,13,13.7,,,47.5,46.9,49.2,47.8,
203,14,13.5,14.5,,25.1,,36.5,41.9,48,,
204,13.9,14.6,13.9,,,row_complete,47,44.5,44.2,,row_complete
205,13.8,12.8,11.8,13.1,,,43.7,43.5,44.6,51.6,
206,13.3,12.6,13.6,,,,44.6,42.8,39.3,,
207,14.5,14,14.8,,,,47.1,44.9,46.7,,
208,13.7,15.5,12.4,,24.9,,48.5,50.8,48,,
209,13.1,12.6,14.5,11.9,,,46.5,48.6,46.5,46.4,
210,13.3,12.3,13,,,,42.3,42.7,38.8,,
211,11.3,11.6,12.1,15.1,,,42.6,42.6,48.3,41,
212,13.9,13.3,13.7,,,,40,47.6,45.4,,
213,14.4,14,15,,,,41.8,50.8,50.5,,
214,14.1,15.5,13.3,15.8,24.9,,45.9,44,45.3,41.8,
215,13.7,13.6,13.2,14,,,47.2,45.1,42.2,47,
216,15.7,15.3,14.8,,,row_complete,45.4,41.4,43.1,,row_complete
217,15.1,12.8,14.5,14.4,,,43.2,48.1,47.9,48.4,
218,15.1,15.2,15.2,,,,42.7,42.4,44.7,,
219,14.6,13.6,13.6,14.7,,,47.8,49.1,45.8,43.8,
220,15.6,15.4,14.2,,,,45.7,47.4,49.5,,
221,14.1,14.1,14.5,13.9,,,46.2,44.5,43,41.9,
222,15.4,14.5,15.1,,,,46.2,44.4,40,,
223,14.7,14,14,,,,51.1,42.3,39.1,,
224,15.3,16.3,17.1,,,,47.3,46.8,42.9,,
225,14.8,14.7,13.7,14.1,,,36.4,43.2,39.9,40.2,
226,14.1,13.6,13.7,14.1,,,41.3,45.4,36.5,,
