"plot","row","col","rowgroup","colgroup","lin_check","leaf_dec_27","spread_dec_27","insect_score_dec_27","disease_score_dec_27","leaf_dec_27.1","spread_dec_27.1","insect_score_dec_27.1","disease_score_dec_27.1","leaf_dec_27.2","spread_dec_27.2","insect_score_dec_27.2","disease_score_dec_27.2","leaf_dec_27.3","spread_dec_27.3","insect_score_dec_27.3","disease_score_dec_27.3","leaf_dec_27.4","spread_dec_27.4","insect_score_dec_27.4","disease_score_dec_27.4","leaf_dec_27.5","spread_dec_27.5","insect_score_dec_27.5","disease_score_dec_27.5","remarks_dec_27"
201,9,17,5,3,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
189,9,16,4,3,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
177,9,15,4,3,"L28",NA,NA,20,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,NA,NA,NA,NA,"ND"
165,9,14,4,3,"L41",NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
153,9,13,4,3,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
141,9,12,3,3,"L83",NA,NA,0,0,NA,NA,0,0,NA,NA,20,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,"spots"
129,9,11,3,3,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
117,9,10,3,3,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
105,9,9,3,3,"L5",NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,10,0,NA,NA,10,0,"spots + yellowing"
93,9,8,2,3,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
81,9,7,2,3,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
69,9,6,2,3,"L85",NA,NA,0,0,NA,NA,5,0,NA,NA,0,2,NA,NA,5,0,NA,NA,0,0,NA,NA,5,1,"spots"
57,9,5,2,3,"L32",NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,"ND"
45,9,4,1,3,"L108",NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,NA,NA,0,0,"spots"
33,9,3,1,3,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
21,9,2,1,3,"L7",NA,NA,0,0,NA,NA,5,0,NA,NA,0,1,NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,""
9,9,1,1,3,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
8,8,1,1,3,"L99",NA,NA,0,0,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,"spots"
20,8,2,1,3,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
