lin_check,Genotype,rowgroup,colgroup,row,col,yield7,panicle_len7,thou_grain_wt7,grain_per_pan7,effective_tiller7,dis_march15,greenness_z65,greenness_z75,greenness_z85,LAUG_65_75,LAUG_75_85,plht,lar,ctd,chl_ind1_2,chl_ind2_2,days_to_head,days_to_anth,Jan_23_2017,Jan_26_2017,Jan_29_2017,Feb_02_2017,Feb_06_2017,Feb_23_2017,line_or_check,check_or_line,is_line,is_check,conv,conf,interaction_rc
1,Aditya,4,4,14,11,1.8490412698412602,19.4303525277566,27.153947347517,24.0774268457889,32,2.5,7.8,5.96,4.65,103.269656284602,85.7744318390913,109,38.60918055808611,9.86,43.53333333,51.3,68,73,Swollen boot,Spikes appearing,Spikes appearing plus,Anthesis stage I,Anthesis stage III,,check,1,0,1,0,1,4.4
L10,MUNAL/3/HUW234+LR34/PRINIA//PFAU/WEAVER/4/...,4,4,13,11,,16.627400827119093,,,36,3,8.84,3.98,3.53,101.276106807546,56.6028435668671,102.5,32.95587776565889,10.714999999999998,43.9,37.36666667,74,84,Before booting,Before booting,Booting plus,Booting plus,Spikes appearing plus,Watery stage minus,L10,line,1,0,1,0,4.4
2,Bhrikuti,3,4,12,11,4.14360714486831,17.637240095532103,45.104904276377,30.981385167876,30,2,8.16,6.61,5.53,117.004583189856,87.1293245474647,95,44.502277791998885,9.803333329999901,47.53333333,46.4,66,76,Awns appearing,Spikes appearing,One fourth of spikes appeared plus,Spikes have fully emerged,Anthesis stage III,,check,2,0,1,0,1,3.4
L4,PRL/2*PASTOR/3/PFAU/WEAVER*2//CHAPIO,3,4,11,11,,,,,38,4,8.34,4.74,4.66,98.9991191760289,61.6359356697164,95,42.50763612523389,10.75,46.625,43.9,74,85,Before booting,Before booting,Booting,Booting,Spikes appearing,Watery stage minus,L4,line,1,0,1,0,3.4
2,Bhrikuti,3,4,10,11,4.38932769978744,17.59771666496672,39.9514321404489,28.2339768039506,40,3,8.36,6.63,6.54,117.53296163645,84.4448573764029,95,42.10667499148501,9.71333333,43.26666667,33.3,63,72,Spikes appearing,One fourth of spikes appeared,Three fourth of spikes appeared minus,Anthesis stage II,Anthesis stage IV,,check,2,0,1,0,1,3.4
L13,WBLL1*2/KURUKU//TACUPETO F2001*2/BRAMBLING,3,4,9,11,4.166378812,17.858704594797178,49.6229826899993,29.4733595810222,28,1.5,7.79,7.56,5.17,113.278175890639,98.7755905290247,111,49.66870276264389,10.6849999999999,46.9,40.83333333,74,82,Before booting,Booting,Booting plus,Awns appearing,Half spikes appeared,Watery stage,L13,line,1,0,1,0,3.4
3,Gautam,2,4,8,11,2.35206315789473,14.499859132584058,40.4792396334524,25.2206796142948,24,2.5,7.45,7.36,4.51,104.684352850115,77.3495894317776,102,41.068457764222885,6,40.66666667,29.8,67,72,Swollen boot,Spikes appearing,One fourth of spikes appeared,Anthesis stage II,Anthesis stage III plus,,check,3,0,1,0,1,2.4
L43,KACHU*2/PANDORA,2,4,7,11,4.35939976703578,17.047871739361433,47.9577573888127,23.4967861137105,50,2,7.84,5.81,4.72,107.56843151396,69.2713386271927,95.5,40.169355555616114,6.425000000000001,45.375,34.66666667,72,78,Booting,Booting,Swollen boot minus,One fourth of spikes appeared,Spikes have fully emerged,Watery stage,L43,line,1,0,1,0,2.4
L58,PRL/2*PASTOR//SUNSTATE/3/MUNAL #1/4/OTUS//...,2,4,6,11,2.7404211878009503,15.361408210992185,40.920733439769,27.5317834742053,35,5.5,8.5,5.66,5.46,103.640201864083,66.9712474490729,101,40.79023333885,4.725000000000001,42.25,32.43333333,72,78,Booting,Booting,Swollen boot,One fourth of spikes appeared,Spikes have fully emerged plus,Watery stage plus,L58,line,1,0,1,0,2.4
L24,BABAX/LR42//BABAX/3/ER2000/4/NAVJ07,1,4,4,11,,17.683582270036272,,,39,1.5,8.67,4.03,3.73,92.4147242454624,42.5666502963143,100.5,36.531722220561115,4.800000000000001,43.5,34.43333333,68,76,Awns appearing,Awns appearing,Spikes appearing,Spikes have fully emerged,Anthesis stage II,Milky stage,L24,line,1,0,1,0,1.4
