lin_check,Genotype,rowgroup,colgroup,row,col,yield7,panicle_len7,thou_grain_wt7,grain_per_pan7,effective_tiller7,dis_march15,greenness_z65,greenness_z75,greenness_z85,LAUG_65_75,LAUG_75_85,plht,lar,ctd,chl_ind1_2,chl_ind2_2,days_to_head,days_to_anth,Jan_23_2017,Jan_26_2017,Jan_29_2017,Feb_02_2017,Feb_06_2017,Feb_23_2017,line_or_check,check_or_line,is_line,is_check,conv,conf,interaction_rc
L14,PASTOR/3/VORONA/CN079//KAUZ/4/MILAN/OTUS//..,4,2,15,5,2.8483494065003496,15.925594716633457,33.7876356770453,26.9390960225994,39,4,8.6,5.77,5.51,107.1574646037,72.1022416547637,102,43.7125,11.274999999999999,40.65,40.93333333,74,84,Before booting,Booting,Booting,Booting plus,Spikes appearing plus,Watery stage minus,L14,line,1,0,1,0,4.2
2,Bhrikuti,4,2,14,5,3.2566760136437596,17.13873285587879,43.47581290628,25.7643649917489,27,1.5,8.26,7.88,6.94,112.594984648,102.95300178268,96,53.62444446008889,11.166666670000001,43.96666667,38.35,67,78,Awns appearing,Spikes appearing minus,One fourth of spikes appeared minus,Three fourth of spikes appeared,Anthesis stage I plus,,check,2,0,1,0,1,4.2
2,Bhrikuti,4,2,13,5,3.2,18.058743718917007,38.8368047205008,25.0912630747708,26,1.5,8.25,6.93,5.69,116.0286254254,82.6460514177881,92,35.38888889041112,10.533333329999998,41.4,39.05,68,78,Awns appearing,Awns appearing,Spikes appearing,Three fourth of spikes appeared,Anthesis stage I,,check,2,0,1,0,1,4.2
2,Bhrikuti,3,2,12,5,2.6902023039481504,18.083137449926653,36.0363381024381,28.697200943143,17,2,8.25,7.16,6.97,103.27414175026,96.0059922335421,89,45.066666658,11.6,46.73333333,43.05,69,78,Swollen boot,Awns appearing minus,Awns appearing plus,Half spikes appeared,Spikes have fully emerged minus,,check,2,0,1,0,1,3.2
L23,BAVIS/VORB/5/CROC_1/AE.SQUARROSA(205)//...,3,2,11,5,2.5792503273254797,14.998824753409833,45.7606462609176,23.4145810296088,23,6,7.5,1.84,0.57,62.59135761793,9.13270412652936,114,23.49,12.8916666666666,36.76666667,27.83333333,65,73,Awns appearing plus,Spikes appearing,One fourth of spikes appeared,Anthesis stage I,Anthesis stage III minus,Hard dough stage,L23,line,1,0,1,0,3.2
3,Gautam,3,2,10,5,3.03882467020993,16.865890920661496,40.5016106715596,29.3598809501759,24,2.5,8.8,7.56,6.97,117.53898803824,100.450753314985,115,46.676666673,12.7333333333333,44.33333333,39.75,68,78,Swollen boot,Swollen boot plus,Spikes appearing plus,Half spikes appeared,Anthesis stage II,,check,3,0,1,0,1,3.2
L105,BABAX/LR42//BABAX*2/4/SNI/TRAP#1/3/KAUZ*2/...,3,2,9,5,4.1522592,17.115873115443797,41.4874242127735,26.8874666393436,38,4.5,7.8,5.41,4.21,104.567233071389,65.4700400410101,103,40.90625,13.675,42.7,27.5,74,80,Before booting,Before booting,Booting plus,Spikes appearing,One fourth of spikes appeared plus,Late anthesis,L105,line,1,0,1,0,3.2
4,Tilottama,2,2,8,5,2.67424079463943,17.167753007757117,36.7620769025312,26.4776116805093,27,3.5,7.63,7.25,4.14,102.327808196287,75.8942528376742,104,27.573333328000004,4.600000000000001,44.4,35.45,65,73,Awns appearing,Spikes appearing plus,Half spikes appeared,Anthesis stage I,Anthesis stage III plus,,check,4,0,1,0,1,2.2
3,Gautam,2,2,7,5,3.5982753603317397,17.038464387329494,46.3478548131449,25.8036998941613,31,2,8.14,8.05,6.89,122.143921062667,116.860459081189,110,34.906666661,3.56666667,42.2,33.85,66,72,Awns appearing,Spikes appearing plus,Half spikes appeared minus,Anthesis stage II,Anthesis stage IV,,check,3,0,1,0,1,2.2
L42,KACHU/2*MUNAL #1,2,2,6,5,,,,,33,6,8.6,6.05,6.04,109.78803608565,81.7707990587306,106.5,32.2,5.300000000000001,45.625,28.4,68,74,Swollen boot,Awns appearing,Spikes appearing,Anthesis stage I minus,Anthesis stage III,Watery stage plus,L42,line,1,0,1,0,2.2
1,Aditya,2,2,5,5,3.38406106781415,16.305551103569442,35.8240604178343,25.642733932101,32,3,8.37,8.2,7.48,117.364102157082,108.04559037404,107,28.20222222191111,4.366666670000001,42.66666667,42.1,68,78,Swollen boot,Awns appearing minus,Spikes appearing,Three fourth of spikes appeared,Anthesis stage II,,check,1,0,1,0,1,2.2
L80,PAURAQ/8/NG8201/KAUZ/4/SHA7//PRL/VEE#6/3/...,1,2,4,5,2.7309455773354596,19.67579420933831,42.5427029776981,27.1121010272974,27,3,8.8,5.34,5.19,100.682400987116,70.7333773945856,100.5,46.188125,6.899999999999999,45.5,36.2,75,85,Before booting,Before booting,Before booting,Booting,Awns appearing minus,Late anthesis,L80,line,1,0,1,0,1.2
1,Aditya,1,2,3,5,3.47083360749245,16.75513555077972,38.0299766861076,25.9601322424645,30,2,8,7.88,5.18,118.272190564476,109.018788555009,107,32.7599999937,5.600000000000001,45.2,34.15,68,78,Swollen boot,Awns appearing plus,Spikes appearing plus,Three fourth of spikes appeared,Anthesis stage II,,check,1,0,1,0,1,1.2
L63,PFAU/MILAN//TROST/3/PBW65/2*SERI.1B*2/4/...,1,2,2,5,2.82553020710706,18.01623484679103,37.8767310397906,29.2577538323684,27,6,8.53,5.77,5.52,102.0543824615,81.6651456637595,97.5,35.621249999999996,7.2964285714285,45.225,39.53333333,74,81,Before booting,Before booting,Booting plus,Spikes appearing minus,One fourth of spikes appeared,Watery stage,L63,line,1,0,1,0,1.2
4,Tilottama,1,2,1,5,3.34806840623226,16.73286246954074,40.220764781817,26.1168545089073,24,5,7.77,6.21,4.96,102.654638623831,88.7778602070725,98,22.5033333281,6.809523812857101,49.46666667,28.95,64,72,Spikes appearing,Spikes appearing plus,Half spikes appeared,Anthesis stage II,Anthesis stage III plus,,check,4,0,1,0,1,1.2
3,Gautam,1,2,1,4,3.6326520672596496,16.3397865143219,40.8068661183375,27.6054342561639,28,3,7.82,7.56,4.29,115.090640999567,80.2065774524722,108,25.249999994999996,8.147619044285701,44.26666667,35.65,64,72,Spikes appearing,Spikes appearing,Half spikes appeared minus,Anthesis stage II,Anthesis stage III,,check,3,0,1,0,1,1.2
4,Tilottama,1,2,2,4,3.7995663431103797,14.855000884731183,34.5332137,26.3390211717652,38,4,8,6.13,3.82,107.213586040147,73.1001049523798,94,23.333333327499997,8.952380955714201,44.66666667,22.7,60,70,One fourth of spikes appeared,Half spikes appeared plus,Spikes have fully emerged plus,Anthesis stage III,Anthesis stage IV plus,,check,4,0,1,0,1,1.2
L93,MUNAL #1/3/PBW343*2/KUKUNA*2//YANAC,1,2,3,4,4.830529694,15.315793266542103,43.068130041416,26.2284456890092,30,5,8.75,4.33,3.53,98.267379642301,47.4955707860955,95,32.878125,9.7321428571428,42.025,31.43333333,72,80,Booting,Swollen boot,Swollen boot,Spikes appearing,Half spikes appeared,Watery stage plus,L93,line,1,0,1,0,1.2
2,Bhrikuti,1,2,4,4,3.8318138671815003,16.357297478713697,38.2825265598092,27.0016685609551,31,4,8.43,7.26,6.33,118.715441267202,94.556733149883,104,40.27555555191111,9.361904758571402,46.63333333,30.75,64,72,Spikes appearing,Spikes appearing plus,Half spikes appeared,Anthesis stage II,Anthesis stage IV minus,,check,2,0,1,0,1,1.2
1,Aditya,2,2,5,4,2.62819781588085,16.86744445456016,34.387009891747,25.4866038999526,26,3.5,8.19,7.28,6.59,115.937717427368,88.9152096894557,106,39.7500000075,9.166666670000001,44.33333333,33.35,70,76,Booting,Awns appearing,Spikes appearing,Spikes have fully emerged minus,Anthesis stage I plus,,check,1,0,1,0,1,2.2
L71,TRCH/SRTU//KACHU/3/KINGBIRD #1,2,2,6,4,3.98340553537326,15.220545914768737,42.7404552707609,22.8202313224434,47,6,7.71,5.03,4.53,122.33929751,58.0305361615386,97.5,32.511250000000004,9.810714285714202,43.73333333,33.2,75,84,Before booting,Before booting,Before booting,Swollen boot,One fourth of spikes appeared,Late anthesis,L71,line,1,0,1,0,2.2
2,Bhrikuti,2,2,7,4,3.9398681720756903,15.532929972045492,36.454782930321,24.5945328743247,35,3,7.96,6.93,5.44,111.154938186757,87.6236357318493,106.5,27.37777778888889,8.771428571428498,44.93333333,35.6,61,72,One fourth of spikes appeared,One fourth of spikes appeared plus,Three fourth of spikes appeared plus,Anthesis stage II,Anthesis stage III plus,,check,2,0,1,0,1,2.2
L16,KIRITATI/ 2*WBLL1/3/TAM200/PASTOR//TOBA97/4/...,2,2,8,4,3.8274362233262,18.570071880545623,44.0886247488223,30.5704072980745,31,5,8.1,5.01,4.04,94.2127775277289,63.0708083366845,101,54.949999999999996,9.832142857142799,46.6,39.2,73,80,Before booting,Booting,Swollen boot minus,Spikes appearing,Three fourth of spikes appeared,Watery stage,L16,line,1,0,1,0,2.2
4,Tilottama,3,2,9,4,3.57817342590082,18.378842389745017,29.931597051296002,27.1496372377619,36,3.5,7.73,6.36,5.12,96.1423370277708,69.867040241957,111,29.439999999999998,11.5666666666666,42.66666667,37.05,64,73,Spikes appearing,Spikes appearing,Half spikes appeared minus,Anthesis stage I,Anthesis stage III,,check,4,0,1,0,1,3.2
L51,MUNAL #1/5/2*PRL/2*PASTOR/4/CHOIX/STAR/3/...,3,2,10,4,,13.272121241482925,,,27,6,8.4,4.46,3.09,95.1185784454899,38.652351505852,105,24.255,12.1083333333333,42.425,32.33333333,73,78,Before booting,Booting,Swollen boot minus,One fourth of spikes appeared,Three fourth of spikes appeared plus,Milky stage,L51,line,1,0,1,0,3.2
1,Aditya,3,2,11,4,2.82268891763,15.66849537398511,36.450633707071,25.3674739733275,26,3,8.24,7.88,6.95,107.4180979825,98.562253332878,107.5,32.39444443238889,12.13333333,41.6,42.75,68,78,Swollen boot,Swollen boot plus,Spikes appearing,Half spikes appeared,Anthesis stage II,,check,1,0,1,0,1,3.2
L102,PREMIO/5/TUI//2*SUNCO/SA1166/3/TUI/4/FINSI/...,4,2,13,4,2.8814426947548997,13.650965489159075,39.1086324942663,21.1164069489392,35,4,8.75,7.01,6.52,103.207616851023,95.5511759386599,94.5,29.17875,11.7666666666666,48.875,42.33333333,74,82,Before booting,Booting,Booting,Awns appearing,Spikes appearing,Watery stage minus,L102,line,1,0,1,0,4.2
L74,DANPHE/3/PBW343*2/KUKUNA//PBW343*2/KUKUNA,4,2,14,4,3.2828006420545597,16.02613722028332,37.087432783676,24.4684593574972,27,4,8.6,4.31,3.69,94.3929827171117,62.1106837942322,112,30.47625,12.675,50.175,37.1,75,85,Before booting,Before booting,Before booting,Booting,Booting,Late anthesis,L74,line,1,0,1,0,4.2
3,Gautam,4,2,15,4,3.3816914350645,18.066746818620587,35.7170591113495,25.9793976508243,25,3,7.33,6.43,3.84,101.389666330494,69.5776661926813,105,50.47777776248889,12.366666663333298,47.4,41.7,70,78,Booting,Swollen boot minus,Spikes appearing minus,Half spikes appeared,Anthesis stage I,,check,3,0,1,0,1,4.2
1,Aditya,4,2,16,4,3.1283676215850003,14.67008644537194,39.3695619307929,26.6757114987695,28,4,7.79,6.61,4.56,99.7807687997987,76.9911986138646,102,42.116666673,10.399999996666601,46.06666667,26.8,69,78,Swollen boot,Swollen boot,Awns appearing plus,Half spikes appeared,Anthesis stage I minus,,check,1,0,1,0,1,4.2
3,Gautam,5,2,17,4,3.1226929161631896,17.318796369533814,36.8226599281364,28.4970518775791,24,2,7.23,6.65,3.07,95.9247597164177,68.6184575793865,101,41.149999995,10.23333333,44.63333333,39.3,68,78,Swollen boot,Awns appearing minus,Spikes appearing plus,Three fourth of spikes appeared,Anthesis stage I plus,,check,3,0,1,0,1,5.2
L11,SWSR22T.B./5/KAUZ//ALTAR 84/AOS/3/KAUZ/4/...,5,2,18,4,,,,,28,2,8.84,5.97,6.06,113.053657586504,86.1466503784734,93,26.166666660125,10.766666666666602,42.65,37.33333333,75,86,Before booting,Before booting,Before booting,Before booting,Booting,Late anthesis,L11,line,1,0,1,0,5.2
L104,CHIYAK//ND643/2*WAXWING/3/ND643/2*WAXWING,5,2,19,4,,,,,30,6,7.45,3.43,0.65,83.4581837797268,30.9394806533105,94,25.69,11.3333333333333,43.025,21.46666667,73,80,Before booting,Booting,Swollen boot minus,Spikes appearing plus,Three fourth of spikes appeared,Milky stage,L104,line,1,0,1,0,5.2
2,Bhrikuti,5,2,20,4,3.0192810469265297,17.660541392336384,42.773126226,25.5407316694539,23,5,7.9,7.55,5.33,106.579686036567,84.0230496323596,87,32.293333338,9.716666669999999,46.06666667,21.5,66,72,Awns appearing,Spikes appearing,Half spikes appeared minus,Anthesis stage II,Anthesis stage IV minus,,check,2,0,1,0,1,5.2
4,Tilottama,5,1,20,3,3.9524259615524198,16.477587235185563,36.355212779882,29.8325141159563,40,3,7.45,6.61,2.77,108.815551288082,52.0744197816339,85,29.291111099688887,11.0333333366666,47.63333333,20,63,72,Spikes appearing,One fourth of spikes appeared plus,Three fourth of spikes appeared,Anthesis stage II,Anthesis stage IV,,check,4,0,1,0,1,5.1
L30,PREMIO//PARUS/PASTOR,5,1,19,3,4.1513259,20.143871145116503,42.7700692312475,30.3319020900215,32,1,8.13,5.27,5.26,98.7221762935776,88.2884850707925,95.5,51.743750000000006,11.683333333333302,51.5,43.26666667,75,85,Before booting,Before booting,Before booting,Booting,Swollen boot,Watery stage minus,L30,line,1,0,1,0,5.1
2,Bhrikuti,5,1,18,3,3.5498747759433,15.088834081523059,31.4501511569172,27.815323400473,28,2.5,7.41,7.16,4.29,105.916778041947,100.787144318177,92,23.549999999999997,11.73333333,45.3,19,64,73,Spikes appearing,Spikes appearing plus,Half spikes appeared minus,Anthesis stage I,Anthesis stage III,,check,2,0,1,0,1,5.1
1,Aditya,5,1,17,3,2.85575905382923,16.690512670120413,31.402214292200497,28.2123536904805,26,1.5,7.81,6.85,5.04,112.898434673152,69.7508513107771,95,33.7425,11.06666667,44.1,40.25,66,76,Awns appearing,Spikes appearing minus,One fourth of spikes appeared,Spikes have fully emerged,Anthesis stage III minus,,check,1,0,1,0,1,5.1
L3,KACHU/BECARD//WBLL1*2/BRAMBLING,4,1,16,3,3.1027046968885603,19.032591666943027,29.3621562117664,23.5102298614935,40,1.5,8.57,6.71,6.58,118.484227448042,76.8208624726673,106,36.9233333403,13.350000000000001,50.15,39.03333333,74,81,Before booting,Booting minus,Booting,Spikes appearing minus,One fourth of spikes appeared,Watery stage minus,L3,line,1,0,1,0,4.1
3,Gautam,4,1,15,3,2.19522230512954,16.886556630704487,37.4038178939498,28.5238396167849,18,1,8.17,6.93,5.79,97.9266010966433,76.9260807899547,108,40.73625,11.5,38.76666667,30.5,70,78,Booting,Awns appearing plus,Spikes appearing,Three fourth of spikes appeared,Anthesis stage II,,check,3,0,1,0,1,4.1
L27,WBLL1*2/BRAMBLING//TAM200/TUI/3/...,4,1,14,3,,17.076050203120325,,,39,1.5,8.13,3.19,2.3,83.1258178190341,40.1043389266382,103.5,41.940000000000005,11.524999999999999,41.6,39.53333333,75,86,Before booting,Before booting,Before booting,Before booting,Before booting,Late anthesis,L27,line,1,0,1,0,4.1
1,Aditya,4,1,13,3,2.8232658777195097,16.629429850235873,30.7045129167698,26.8740490056374,27,2.5,8.09,7.88,6.77,113.036085837026,92.9719369928818,106,17.290000000000003,10.33333333,44.46666667,40.45,70,78,Swollen boot minus,Swollen boot minus,Spikes appearing minus,Half spikes appeared,Anthesis stage I,,check,1,0,1,0,1,4.1
L39,KACHU*2/MUNAL #1,3,1,12,3,2.7175786935044703,14.076486460267196,46.8017330404462,23.485539407625,28,2,8.22,6.41,6.32,104.41912941764,93.3912083930177,99,41.02222222011111,10.05,42.225,39.1,75,85,Before booting,Before booting,Before booting,Booting,Spikes appearing minus,Late anthesis,L39,line,1,0,1,0,3.1
3,Gautam,3,1,11,3,2.7416678870195597,17.658887153938124,29.208144402530998,28.0132250306765,18,2,8,7.25,6.71,115.001046286844,99.4430385514137,109,28.555555555711113,9.975000000000001,46.36666667,35.7,69,76,Booting,Awns appearing plus,Spikes appearing plus,Spikes have fully emerged,Anthesis stage III minus,,check,3,0,1,0,1,3.1
1,Aditya,3,1,10,3,2.37261883987072,16.64098611330458,28.8012239715494,28.8696798931456,21,1.5,8.38,6.93,6.72,106.49508738534,84.6936078272254,106,40.233333339000005,9.45,45.36666667,36.5,68,78,Swollen boot,Spikes appearing minus,Spikes appearing,Three fourth of spikes appeared,Anthesis stage I,,check,1,0,1,0,1,3.1
1,Aditya,3,1,9,3,3.43882436791949,16.926068024645165,31.1569036355452,27.3187355068489,29,3,8.36,6.85,6.12,112.137746156887,94.1199132260137,105,31.917499999999997,9.25833333,46.8,38.5,68,78,Swollen boot,Awns appearing minus,Spikes appearing,Three fourth of spikes appeared,Anthesis stage I plus,,check,1,0,1,0,1,3.1
L78,KACHU/6/YAR/AE.SQUARROSA (783)/4/GOV/AZ//...,2,1,8,3,2.87071055024047,11.658977278892394,42.6701088286647,23.712930804762,28,3,8.14,5.49,5.19,105.747766180411,81.7388063396027,94.5,37.813333328,9.6928571428571,39.8,29.83333333,67,77,Swollen boot,Awns appearing plus,One fourth of spikes appeared minus,Three fourth of spikes appeared plus,Anthesis stage III,Soft dough stage,L78,line,1,0,1,0,2.1
3,Gautam,2,1,7,3,2.77838261359629,16.933110350575824,34.9218440889241,28.7537188676072,21,2,8.02,6.21,4.2,111.469094646508,68.4789828125282,103,40.6075,9.2952380985714,44.2,38.1,66,72,Swollen boot,Spikes appearing,Half spikes appeared,Anthesis stage II,Anthesis stage III minus,,check,3,0,1,0,1,2.1
L73,BECARD #1/3/PBW343*2/KUKUNA//PBW343*2/KUKUNA,2,1,6,3,3.8744873194221396,16.356577564522432,39.6799273529633,28.8073258547903,35,2.5,7.75,6.21,4.78,105.189404509272,80.4718591460424,102.5,47.1700000089,8.714285714285701,46.55,36.33333333,73,82,Before booting,Booting,Swollen boot minus,Awns appearing,One fourth of spikes appeared minus,Late anthesis,L73,line,1,0,1,0,2.1
2,Bhrikuti,2,1,5,3,2.7695909574252697,14.767514741746,37.2469700308816,28.0585515080941,25,1,7.95,7.56,5.94,112.672594805134,85.2502386127819,99,52.89375,8.23333333,43.5,34.85,67,76,Awns appearing,Awns appearing,Spikes appearing plus,Spikes have fully emerged,Anthesis stage I,,check,2,0,1,0,1,2.1
L31,ND643/2*WBLL1//ND643/2*WAXWING,1,1,4,3,3.80744845199923,16.314427218039853,46.8665028894709,23.93044019411,37,2.5,8.74,6.81,6.66,115.806476146941,96.5203446548924,96.5,44.366666658599996,9.7083333333333,46.65,35.56666667,71,81,Booting,Booting plus,Swollen boot plus,Spikes appearing minus,Half spikes appeared,Watery stage minus,L31,line,1,0,1,0,1.1
4,Tilottama,1,1,3,3,3.4344080250663804,16.48556874989854,28.4056301928989,30.4118866773805,34,1,8.49,5.85,5.84,107.143509145305,73.0450339341453,99,29.244444455888893,8.833333336666602,44.23333333,35.75,63,70,Spikes appearing,One fourth of spikes appeared,Three fourth of spikes appeared,Anthesis stage III,Anthesis stage IV,,check,4,0,1,0,1,1.1
L64,PFAU/MILAN//TROST/3/PBW65/2*SERI.1B*2/4/...,1,1,2,3,,,,,37,3,8.51,5.91,5.85,102.973162751152,96.0499063594503,104,43.1775,9.875,51.9,49.5,75,86,Before booting,Before booting,Before booting,Before booting,Swollen boot minus,Late anthesis,L64,line,1,0,1,0,1.1
2,Bhrikuti,1,1,1,3,3.98861878990152,18.479678494592417,35.8324519072815,27.1173488453564,32,2,8.22,6.93,5.67,113.466981635362,102.954817848166,93,30.293333328000003,8.3333333333333,49,38.15,63,72,Spikes appearing,One fourth of spikes appeared,Three fourth of spikes appeared,Anthesis stage II,Anthesis stage IV plus,,check,2,0,1,0,1,1.1
L107,YUK/AE.SQUARROSA (217)//2*PANDORA,1,1,1,2,2.5111889847753,13.777704428475776,39.4347566269039,22.3442622890503,30,6,7.92,6.36,5.01,102.68795142235,92.8969616061634,97,56.746666673,8.5416666666666,51.575,38.5,68,78,Swollen boot,Awns appearing plus,Spikes appearing plus,Three fourth of spikes appeared,Spikes have fully emerged,Watery stage,L107,line,1,0,1,0,1.1
1,Aditya,1,1,2,2,2.65642001817886,15.074383229274837,35.4764906538685,27.2575761292224,22,3,8.2,8.2,6.83,101.424121402408,104.602907886341,105,33.475,8,47.4,35.05,68,78,Swollen boot,Spikes appearing minus,Spikes appearing plus,Three fourth of spikes appeared,Anthesis stage I plus,,check,1,0,1,0,1,1.1
L61,PASTOR/3/VORONA/CN079//KAUZ/4/MILAN/OTUS//...,1,1,3,2,,14.174933238947704,,,30,4,8.19,3.83,3.46,92.3442100168804,63.5837407262885,109.5,39.990625,9.6333333333333009,41.975,35.1,74,80,Before booting,Before booting,Booting,Spikes appearing,Three fourth of spikes appeared,Watery stage,L61,line,1,0,1,0,1.1
4,Tilottama,1,1,4,2,2.8774260519647497,16.528598882918043,32.7405818836215,27.4864438216536,28,3,7.99,6.05,5.35,111.329853373463,67.5046896375006,106,32.638888890611106,9.266666666666598,43.3,21.45,62,72,Spikes appearing,One fourth of spikes appeared minus,Three fourth of spikes appeared plus,Anthesis stage II,Anthesis stage III plus,,check,4,0,1,0,1,1.1
L47,CHIBIA//PRLII/CM65531/3/MISR 2*2/4/...,2,1,5,2,3.4502782617493697,15.219760158112464,42.4359875191814,26.4829806819253,30,3,8.36,6.67,6.03,111.29436948057,90.8656164271738,101,49.209999999999994,8.900000000000002,45.45,38.7,73,82,Before booting,Booting,Swollen boot,Awns appearing plus,One fourth of spikes appeared,Late anthesis,L47,line,1,0,1,0,2.1
L97,FRET2*2/4/SNI/TRAP#1/3/KAUZ*2-TRAP//KAUZ*2/...,2,1,6,2,1.4597443120507099,15.883338653866407,32.4636731311114,26.4140357616882,27,8,8.09,2.94,1.1,84.4971319801531,16.5179116556842,107,42.52444443048889,10.1833333333333,38.975,27.03333333,74,82,Before booting,Before booting,Booting,Awns appearing plus,Half spikes appeared plus,Watery stage,L97,line,1,0,1,0,2.1
2,Bhrikuti,2,1,7,2,3.5618530388156397,17.260237577960236,36.222057556333,26.7888767452992,29,5,7.94,6.13,5.07,105.482938770057,87.4178758225982,97,37.15555555911111,10.516666666666598,44.73333333,32.3,65,73,Awns appearing,Spikes appearing,Half spikes appeared plus,Anthesis stage I,Anthesis stage III,,check,2,0,1,0,1,2.1
1,Aditya,2,1,8,2,2.39874871751581,17.5199916022949,40.0182524073462,27.4810094996425,18,2,8.59,6.35,6.07,101.894746607961,93.0082824338573,107,62.933333344,7.900000000000002,48.2,42,68,78,Swollen boot,Awns appearing minus,Spikes appearing,Three fourth of spikes appeared,Anthesis stage I plus,,check,1,0,1,0,1,2.1
L35,KIRITATI/ 2*WBLL1/8/SHA7/ PRL/VEE#6/ 3/ FASAN/...,3,1,9,2,,13.487972932449251,,,32,7,8.01,5.06,4.54,98.8516269093297,59.0900234775651,106,39.2,10.025000000000002,38.775,32.26666667,73,78,Before booting,Swollen boot minus,Swollen boot,One fourth of spikes appeared,Three fourth of spikes appeared plus,Watery stage plus,L35,line,1,0,1,0,3.1
L59,KAUZ*2/BOW//KAUZ/3/W98.6.38/5/SABUF/4/...,3,1,10,2,,16.427404071020256,,,26,3,8.09,5.77,5.62,107.162388009958,70.2314075201612,105,54.2666666568,10.7,47.825,33.9,73,80,Before booting,Booting,Swollen boot minus,Spikes appearing,Half spikes appeared,Watery stage,L59,line,1,0,1,0,3.1
2,Bhrikuti,3,1,11,2,3.56065613971362,16.862949080577383,35.4863849114858,27.6711599043548,30,6,8.45,6.53,5.65,113.479322148418,89.4086898064079,105,36.776250000000005,10.450000000000001,44.9,23.25,65,73,Awns appearing,Spikes appearing,Half spikes appeared plus,Anthesis stage I,Anthesis stage III minus,,check,2,0,1,0,1,3.1
3,Gautam,3,1,12,2,3.8585378598472504,17.53340660960784,37.8245558461358,27.9194970969093,32,2,8.33,6.53,6.2,110.837468982766,94.3430217252999,111,34.2,8.625,46.5,43.45,68,78,Swollen boot,Awns appearing plus,Spikes appearing plus,Half spikes appeared,Anthesis stage III minus,,check,3,0,1,0,1,3.1
3,Gautam,4,1,13,2,2.6683139699188496,15.66126709101426,35.0366175410045,26.2087041523518,23,2,8.36,6.61,5.58,103.704954067793,87.239365047882,109,44.38888889311111,9.333333329999999,40.2,39.6,69,78,Swollen boot,Swollen boot plus,Awns appearing plus,One fourth of spikes appeared,Anthesis stage I,,check,3,0,1,0,1,4.1
4,Tilottama,4,1,14,2,2.9726280416567903,16.46215073994701,37.6254093167199,25.8899301991197,28,6,8.19,6.93,6.43,115.114047101764,92.4803490547237,94,42.755555553111115,9.912499999999998,42.03333333,36,64,72,Spikes appearing,Spikes appearing plus,Half spikes appeared minus,Anthesis stage II,Anthesis stage III,,check,4,0,1,0,1,4.1
1,Aditya,4,1,15,2,3.2129480330353903,16.919164233127567,41.2920067689033,27.2366507006025,30,4,8.08,7.56,6.84,117.765149398407,102.826752733417,102,46.811249999999994,8.958333329999999,42.73333333,33.95,70,78,Booting,Swollen boot plus,Spikes appearing,Three fourth of spikes appeared,Anthesis stage II,,check,1,0,1,0,1,4.1
L68,SOKOLL/WBLL1/4/D67.2/PARANA 66.270//...,4,1,16,2,3.14423642590664,19.13593695031007,36.0941385948419,30.7504714838312,27,8,8.38,5.57,5.48,107.564031566431,70.2539670667108,98.5,46.765625,9.037500000000001,41.575,28.36666667,73,80,Before booting,Booting,Swollen boot minus,Spikes appearing,One fourth of spikes appeared,Late anthesis,L68,line,1,0,1,0,4.1
4,Tilottama,5,1,17,2,2.5949153701898497,16.347864825059215,37.8067116063954,27.7501299297328,28,5,7.82,6.93,5.24,111.998050830706,85.0634547116741,94,53.1666666575,6.050000000000001,40.2,19.5,61,72,Spikes appearing,Half spikes appeared minus,Spikes have fully emerged plus,Anthesis stage II,Anthesis stage IV,,check,4,0,1,0,1,5.1
L81,PRL/2*PASTOR//SUNSTATE/3/GRACK,5,1,18,2,1.04559175647905,16.6749979808635,33.5141009088442,24.311156419087,24,4,7.97,3.35,0.75,81.8801335048357,34.3099909790878,104,38.981249999999996,8.8125,38.7,34.93333333,75,86,Before booting,Before booting,Before booting,Before booting,Awns appearing,Late anthesis,L81,line,1,0,1,0,5.1
L2,KACHU #1,5,1,19,2,3.26796347001427,15.689290275957465,41.7549608999517,29.2510730130347,39,7,7.77,7.48,4.43,110.466671120173,86.4812177849832,91,40.1033333409,9.625,42.35,37.43333333,71,80,Booting,Swollen boot minus,Awns appearing,Spikes appearing plus,Three fourth of spikes appeared,Late anthesis,L2,line,1,0,1,0,5.1
3,Gautam,5,1,20,2,3.6696123868175397,17.516345208715954,41.3099638033114,28.0849617486149,29,2,8.11,8.03,6.5,122.496881783236,113.996345483507,100,31,10.254166669999998,45.16666667,40.8,70,78,Booting,Swollen boot plus,Spikes appearing,Half spikes appeared,Anthesis stage I,,check,3,0,1,0,1,5.1
L26,NING-MAI-96035/FINSI//HEILO/3/NAVJ07,5,1,20,1,,,,,26,7,7.6,6.61,3.61,107.545388545949,73.1919467286988,101,31.038125,9.975000000000001,46.525,40.3,68,78,Swollen boot,Spikes appearing minus,Spikes appearing plus,Half spikes appeared,Anthesis stage I plus,Milky stage,L26,line,1,0,1,0,5.1
1,Aditya,5,1,19,1,2.40042357829039,15.995586062248192,37.6759644032,27.7243623851401,18,4,8.01,7.88,5.59,118.684005194318,88.3820246572095,101,50.666666673,9.849999999999998,48.86666667,37.65,68,78,Swollen boot,Swollen boot,Spikes appearing,Half spikes appeared,Spikes have fully emerged plus,,check,1,0,1,0,1,5.1
